observation_date,CUSR0000SETB
2011-01-01,284.451
2011-04-01,310.713
2011-07-01,307.644
2011-10-01,306.165
2012-01-01,315.073
2012-04-01,306.001
2012-07-01,309.480
2012-10-01,319.347
2013-01-01,316.748
2013-04-01,296.690
2013-07-01,301.084
2013-10-01,300.088
2014-01-01,306.056
2014-04-01,304.583
2014-07-01,295.462
2014-10-01,261.236
2015-01-01,208.421
2015-04-01,223.709
2015-07-01,220.739
2015-10-01,197.182
2016-01-01,173.799
2016-04-01,190.368
2016-07-01,187.240
2016-10-01,201.861
2017-01-01,214.951
2017-04-01,201.914
2017-07-01,208.805
2017-10-01,226.590
2018-01-01,236.656
2018-04-01,242.576
2018-07-01,247.267
2018-10-01,240.399
2019-01-01,220.036
2019-04-01,241.118
2019-07-01,232.262
2019-10-01,238.983
2020-01-01,225.422
2020-04-01,169.583
2020-07-01,191.045
2020-10-01,197.359
2021-01-01,235.145
2021-04-01,253.781
2021-07-01,270.458
2021-10-01,301.022
2022-01-01,335.075
2022-04-01,383.747
2022-07-01,349.580
2022-10-01,328.796
2023-01-01,314.086
2023-04-01,306.878
2023-07-01,321.688
2023-10-01,310.459
2024-01-01,303.722
2024-04-01,307.402
2024-07-01,290.769
2024-10-01,284.737
